카다, 68, 194
자자, 55, 182
차사, 63, 143
하차, 46, 142
마차, 79, 174
나차, 95, 141
바타, 87, 141
자차, 88, 186
마자, 81, 158
타다, 57, 149
자파, 85, 157
라다, 72, 183
다마, 84, 178
사차, 63, 161
하마, 61, 186
카하, 89, 195
라차, 83, 156
나다, 65, 185
아카, 46, 143
바다, 67, 192
카마, 47, 158
가사, 98, 154
파차, 70, 146
마사, 52, 160
나타, 44, 154
카가, 71, 178
하바, 74, 147
하라, 78, 166
다사, 99, 186
카사, 49, 168
가아, 88, 168
파사, 46, 177
사아, 77, 175
아자, 56, 167
마가, 87, 197
카아, 74, 149
하마, 76, 191
바바, 44, 161
나아, 54, 143
나차, 86, 156
라카, 40, 162
아자, 77, 185
바마, 54, 174
마바, 55, 172
자나, 52, 194
자바, 83, 199
하아, 96, 186
카하, 68, 158
타가, 60, 158
사차, 62, 196
파하, 40, 195
카바, 69, 186
라나, 78, 140
아자, 70, 146
다아, 91, 156
타라, 69, 166
라카, 72, 174
사다, 80, 161
카타, 79, 140
마나, 52, 180
카카, 74, 168
마아, 54, 151
마차, 43, 151
파아, 94, 196
카라, 69, 165
카마, 48, 179
가사, 47, 197
하하, 62, 142
타자, 54, 157
가아, 50, 189
라나, 67, 199
파카, 77, 140
마자, 42, 185
파다, 60, 155
파파, 67, 187
하파, 62, 186
다아, 83, 142
마라, 74, 171
다나, 89, 165
다자, 92, 161
바나, 69, 193
나타, 76, 145
다카, 99, 152
가하, 67, 154
아나, 51, 194
가타, 40, 178
다가, 70, 185
타라, 77, 163
마사, 90, 181
다라, 45, 175
타나, 92, 184
타하, 87, 186
가카, 79, 150
자차, 74, 158
마라, 89, 164
바라, 80, 149
카아, 70, 188
다사, 91, 188
타자, 77, 181
타사, 47, 151
하가, 93, 169
다타, 53, 177
다차, 44, 168
라카, 87, 172
파마, 65, 198
사가, 44, 141
사아, 69, 186
다아, 72, 147
라자, 88, 160
라파, 98, 166
가차, 42, 145
마나, 48, 183
나다, 97, 196
타타, 68, 184
아다, 66, 195
타라, 41, 182
타카, 58, 166
가나, 68, 193
다카, 92, 145
카차, 79, 146
나아, 82, 176
파사, 89, 199
마라, 71, 184
마다, 67, 140
바타, 82, 169
사파, 76, 142
타라, 76, 157
타파, 91, 160
마카, 99, 142
사차, 78, 146
다가, 59, 187
바가, 72, 192
하나, 85, 177
나사, 80, 153
하다, 40, 176
사마, 45, 194
바마, 77, 197
마아, 41, 170
가바, 57, 140
가나, 83, 155
자나, 61, 188
사나, 92, 169
파자, 52, 166
나하, 57, 159
마다, 91, 171
하하, 43, 154
가차, 89, 169
차마, 99, 173
다가, 91, 166
자라, 67, 188
아카, 74, 160
아하, 47, 157
사카, 46, 186
마카, 66, 140
타하, 53, 170
가아, 92, 197
라하, 80, 174
하가, 94, 197
바바, 53, 185
마라, 46, 159
하카, 99, 194
타자, 90, 161
아아, 96, 166
카아, 98, 193
사바, 98, 153
마차, 75, 193
차타, 82, 178
파라, 55, 145
차라, 47, 197
아파, 60, 156
파라, 40, 153
라카, 83, 184
사다, 77, 149
라가, 95, 161
하하, 60, 182
하다, 98, 193
파파, 94, 190
마라, 53, 170
타차, 62, 165
바라, 92, 198
하나, 95, 141
다차, 78, 198
라가, 74, 147
파하, 51, 197
하차, 77, 154
바아, 50, 157
하자, 51, 159
